"axiom" "refc" "conf" "expt" "poss" "nec" "time" "ari" "bls" "ncis" "tp"
"SubClassOf(dbo:AmericanFootballLeague dbo:Agent)" 78 78 0 1 1 36 1 0.836632580148048 6 468
"SubClassOf(dbo:AmericanFootballLeague dbo:Organisation)" 78 78 0 1 1 24 1 0.836632580148048 6 468
"SubClassOf(dbo:AmericanFootballLeague dbo:SportsLeague)" 78 78 0 1 1 24 1 0.836632580148048 6 468
"SubClassOf(dbo:AmericanFootballLeague schema:Organization)" 78 78 0 1 1 20 1 0.836632580148048 6 468
"SubClassOf(dbo:AmericanFootballLeague owl:Thing)" 78 78 0 1 1 20 1 0.836632580148048 6 468
"SubClassOf(dbo:AmericanFootballLeague skos:Concept)" 78 2 0 1 0.224999086856208 276 0.224999086856208 0.235490869487836 6 468
"SubClassOf(dbo:Ligament dbo:AnatomicalStructure)" 195 195 0 1 1 68 1 0.897223896600736 2 390
"SubClassOf(dbo:Ligament owl:Thing)" 195 195 0 1 1 20 1 0.897223896600736 2 390
"SubClassOf(dbo:Chancellor dbo:Agent)" 86 86 0 1 1 36 1 0.844431453575631 6 516
"SubClassOf(dbo:Chancellor dbo:Person)" 86 86 0 1 1 20 1 0.844431453575631 6 516
"SubClassOf(dbo:Chancellor dbo:Politician)" 86 86 0 1 1 20 1 0.844431453575631 6 516
"SubClassOf(dbo:Chancellor schema:Person)" 86 86 0 1 1 24 1 0.844431453575631 6 516
"SubClassOf(dbo:Chancellor owl:Thing)" 86 86 0 1 1 20 1 0.844431453575631 6 516
"SubClassOf(dbo:Chancellor foaf:Person)" 86 86 0 1 1 24 1 0.844431453575631 6 516
"SubClassOf(dbo:SpeedwayTeam dbo:Agent)" 78 78 0 1 1 56 1 0.836632580148048 7 546
"SubClassOf(dbo:SpeedwayTeam dbo:Organisation)" 78 78 0 1 1 52 1 0.836632580148048 7 546
"SubClassOf(dbo:SpeedwayTeam dbo:SportsTeam)" 78 78 0 1 1 40 1 0.836632580148048 7 546
"SubClassOf(dbo:SpeedwayTeam schema:Organization)" 78 78 0 1 1 24 1 0.836632580148048 7 546
"SubClassOf(dbo:SpeedwayTeam schema:SportsTeam)" 78 78 0 1 1 20 1 0.836632580148048 7 546
"SubClassOf(dbo:SpeedwayTeam gml:_Feature)" 78 1 0 1 0.159614097410112 436 0.159614097410112 0.202279368682608 7 546
"SubClassOf(dbo:SpeedwayTeam owl:Thing)" 78 78 0 1 1 40 1 0.836632580148048 7 546
"SubClassOf(dbo:Embryology dbo:AnatomicalStructure)" 220 220 0 1 1 56 1 0.903348743948253 2 440
"SubClassOf(dbo:Embryology owl:Thing)" 220 220 0 1 1 20 1 0.903348743948253 2 440
"SubClassOf(dbo:College dbo:Agent)" 81 81 0 1 1 36 1 0.83968921468011 33 2673
"SubClassOf(dbo:College dbo:EducationalInstitution)" 81 81 0 1 1 20 1 0.83968921468011 33 2673
