"axiom" "refc" "conf" "expt" "poss" "nec" "time" "ari" "bls" "ncis" "tp"
"SubClassOf(schema:Product dbo:SoccerClub)" 51303 1 42712 0.014120465513089 0 2516695 -0.985879534486911 0.00752275274373357 21 1077363
"SubClassOf(schema:Product dbo:SportsTeam)" 51303 1 42712 0.014120465513089 0 3655359 -0.985879534486911 0.00752275274373357 21 1077363
"SubClassOf(schema:Product dbo:Weapon)" 51303 4709 46594 0.00422142912616952 0 1241607 -0.99577857087383 0.328905932772608 21 1077363
"SubClassOf(schema:Product schema:MusicGroup)" 51303 1 41708 0.0176450549932038 0 2339531 -0.982354945006796 0.00752275274373357 21 1077363
"SubClassOf(schema:Product schema:Person)" 51303 90 33047 0.0654556344476496 0 1826471 -0.93454436555235 0.0423577722956994 21 1077363
"SubClassOf(schema:Product schema:SportsTeam)" 51303 1 42712 0.014120465513089 0 3657965 -0.985879534486911 0.00752275274373357 21 1077363
"SubClassOf(schema:Product gml:_Feature)" 51303 2806 0 1 0.32618677001874 35948 0.32618677001874 0.250266909143461 21 1077363
"SubClassOf(schema:Product owl:Thing)" 51303 51293 0 1 0.999999981003023 12977 0.999999981003024 0.9848973375662 21 1077363
"SubClassOf(schema:Product skos:Concept)" 51303 900 0 1 0.186488381645505 12336 0.186488381645505 0.137582414865067 21 1077363
"SubClassOf(schema:Product foaf:Person)" 51303 92 7490 0.47973460965843 0 431041 -0.52026539034157 0.0428246868090398 21 1077363
"SubClassOf(dbo:Eukaryote dbo:Agent)" 235699 6 204949 0.00854682202228163 0 22913844 -0.991453177977718 0.00572624789531523 51 12020649
"SubClassOf(dbo:Eukaryote dbo:Amphibian)" 235699 6894 211229 0.00540377759873623 0 3572979 -0.994596222401264 0.179784537133897 51 12020649
"SubClassOf(dbo:Eukaryote dbo:Animal)" 235699 178286 55916 0.353324489023448 0 5809145 -0.646675510976552 0.5 51 12020649
"SubClassOf(dbo:Eukaryote dbo:Arachnid)" 235699 3109 215031 0.00385202141210417 0 1846865 -0.996147978587896 0.118442290944195 51 12020649
"SubClassOf(dbo:Eukaryote dbo:Artist)" 235699 1 234202 2.01698424080465e-05 0 97406587 -0.999979830157592 0.00350260512366781 51 12020649
"SubClassOf(dbo:Eukaryote dbo:Athlete)" 235699 2 204957 0.0085423563181859 0 66528056 -0.991457643681814 0.00404558826650974 51 12020649
"SubClassOf(dbo:Eukaryote dbo:Bird)" 235699 12520 205603 0.00818565091512335 0 6233207 -0.991814349084877 0.246362450630316 51 12020649
"SubClassOf(dbo:Eukaryote dbo:City)" 235699 1 218111 0.00278800320001737 0 43037664 -0.997211996799983 0.00350260512366781 51 12020649
"SubClassOf(dbo:Eukaryote dbo:ClubMoss)" 235699 89 193612 0.0160714265426681 0 133977 -0.983928573457332 0.019445239540563 51 12020649
"SubClassOf(dbo:Eukaryote dbo:Company)" 235699 3 218107 0.00278927325678469 0 46651772 -0.997210726743215 0.00452421537669617 51 12020649
"SubClassOf(dbo:Eukaryote dbo:Conifer)" 235699 720 192981 0.01656103604366 0 623574 -0.98343896395634 0.0556875084930984 51 12020649
"SubClassOf(dbo:Eukaryote dbo:Country)" 235699 1 234201 2.01967986978024e-05 0 8114284 -0.999979803201302 0.00350260512366781 51 12020649
"SubClassOf(dbo:Eukaryote dbo:Crustacean)" 235699 2374 215749 0.00358856048321687 0 1496626 -0.996411439516783 0.102936632455215 51 12020649
"SubClassOf(dbo:Eukaryote dbo:CultivatedVariety)" 235699 1474 193459 0.0161894518339745 0 1340509 -0.983810548166026 0.0804387357800645 51 12020649
"SubClassOf(dbo:Eukaryote dbo:Cycad)" 235699 173 193528 0.0161361699680229 0 173593 -0.983863830031977 0.0270644680955465 51 12020649
"SubClassOf(dbo:Eukaryote dbo:Device)" 235699 1 218111 0.00278800320001737 0 12042981 -0.997211996799983 0.00350260512366781 51 12020649
"SubClassOf(dbo:Eukaryote dbo:Fern)" 235699 833 192868 0.0166495109334313 0 756553 -0.983350489066569 0.0599971859162893 51 12020649
"SubClassOf(dbo:Eukaryote dbo:Fish)" 235699 16033 202081 0.0102240765920751 0 7461263 -0.989775923407925 0.280777585465863 51 12020649
"SubClassOf(dbo:Eukaryote dbo:FloweringPlant)" 235699 2596 191090 0.0180734868808922 0 2580722 -0.981926513119108 0.107830183890717 51 12020649
"SubClassOf(dbo:Eukaryote dbo:Food)" 235699 1 218113 0.00278736828054527 0 10420059 -0.997212631719455 0.00350260512366781 51 12020649
"SubClassOf(dbo:Eukaryote dbo:Fungus)" 235699 8739 225465 0.000943083585600912 0 8254897 -0.999056916414399 0.203732645497294 51 12020649
"SubClassOf(dbo:Eukaryote dbo:Ginkgo)" 235699 5 194942 0.0150640742184046 0 62465 -0.984935925781595 0.00535540050108998 51 12020649
"SubClassOf(dbo:Eukaryote dbo:Gnetophytes)" 235699 28 194919 0.0150812111430974 0 87820 -0.984918788856903 0.0111190915282531 51 12020649
"SubClassOf(dbo:Eukaryote dbo:Grape)" 235699 349 192428 0.0169963186023766 0 333830 -0.983003681397623 0.0385342833782144 51 12020649
"SubClassOf(dbo:Eukaryote dbo:GreenAlga)" 235699 356 193345 0.0162776799359029 0 346620 -0.983722320064097 0.0389235251724851 51 12020649
"SubClassOf(dbo:Eukaryote dbo:InformationAppliance)" 235699 1 218129 0.00278229153862464 0 1062782 -0.997217708461375 0.00350260512366781 51 12020649
"SubClassOf(dbo:Eukaryote dbo:Insect)" 235699 75420 142703 0.0811272748674744 0 9363811 -0.918872725132526 0.5 51 12020649
"SubClassOf(dbo:Eukaryote dbo:Mammal)" 235699 13155 204957 0.0085423563181859 0 6620157 -0.991457643681814 0.252892914736684 51 12020649
"SubClassOf(dbo:Eukaryote dbo:Mollusca)" 235699 27275 190848 0.0182719426311743 0 9991621 -0.981728057368826 0.371361390862869 51 12020649
"SubClassOf(dbo:Eukaryote dbo:Moss)" 235699 384 193317 0.0162993875844328 0 346353 -0.983700612415567 0.0404449214402787 51 12020649
"SubClassOf(dbo:Eukaryote dbo:Organisation)" 235699 1 204953 0.00854458902247446 0 50273134 -0.991455410977526 0.00350260512366781 51 12020649
"SubClassOf(dbo:Eukaryote dbo:Person)" 235699 5 204952 0.00854514724472122 0 22795057 -0.991454852755279 0.00535540050108998 51 12020649
"SubClassOf(dbo:Eukaryote dbo:Place)" 235699 4 204948 0.0085473803184084 0 24138696 -0.991452619681592 0.00495712811331961 51 12020649
"SubClassOf(dbo:Eukaryote dbo:Plant)" 235699 47175 187028 0.021552644238188 0 33356833 -0.978447355761812 0.492190677435469 51 12020649
"SubClassOf(dbo:Eukaryote dbo:PopulatedPlace)" 235699 4 204948 0.0085473803184084 0 24077787 -0.991452619681592 0.00495712811331961 51 12020649
"SubClassOf(dbo:Eukaryote dbo:RaceHorse)" 235699 4448 204957 0.0085423563181859 0 2595225 -0.991457643681814 0.142817986508168 51 12020649
"SubClassOf(dbo:Eukaryote dbo:RecordLabel)" 235699 3 204958 0.00854179818828837 0 8772545 -0.991458201811712 0.00452421537669617 51 12020649
"SubClassOf(dbo:Eukaryote dbo:Reptile)" 235699 5408 212715 0.00476586658051159 0 3143439 -0.995234133419488 0.158233692734374 51 12020649
"SubClassOf(dbo:Eukaryote dbo:Settlement)" 235699 1 218106 0.00278959081635632 0 360644236 -0.997210409183644 0.00350260512366781 51 12020649
"SubClassOf(dbo:Eukaryote dbo:SoccerPlayer)" 235699 2 205673 0.00814746112818976 0 44312145 -0.99185253887181 0.00404558826650974 51 12020649
"SubClassOf(dbo:Eukaryote dbo:Species)" 235699 235699 0 1 1 38830 1 0.99714108234521 51 12020649
"SubClassOf(dbo:Eukaryote schema:City)" 235699 1 218111 0.00278800320001737 0 42942333 -0.997211996799983 0.00350260512366781 51 12020649
"SubClassOf(dbo:Eukaryote schema:Country)" 235699 1 234201 2.01967986978024e-05 0 8121011 -0.999979803201302 0.00350260512366781 51 12020649
"SubClassOf(dbo:Eukaryote schema:MusicGroup)" 235699 2 218109 0.00278863819209718 0 22966771 -0.997211361807903 0.00404558826650974 51 12020649
"SubClassOf(dbo:Eukaryote schema:Organization)" 235699 1 204953 0.00854458902247446 0 49810278 -0.991455410977526 0.00350260512366781 51 12020649
"SubClassOf(dbo:Eukaryote schema:Person)" 235699 5 204952 0.00854514724472122 0 22810207 -0.991454852755279 0.00535540050108998 51 12020649
"SubClassOf(dbo:Eukaryote schema:Place)" 235699 4 204948 0.0085473803184084 0 24027222 -0.991452619681592 0.00495712811331961 51 12020649
"SubClassOf(dbo:Eukaryote gml:_Feature)" 235699 160 5698 0.781447085954392 0 3177292 -0.218552914045608 0.0260270063575446 51 12020649
"SubClassOf(dbo:Eukaryote owl:Thing)" 235699 235698 0 1 0.999999999991 76571 0.999999999991 0.996497394876332 51 12020649
"SubClassOf(dbo:Eukaryote skos:Concept)" 235699 4334 1858 0.874685474877992 0 69383 -0.125314525122008 0.140889081168474 51 12020649
"SubClassOf(dbo:Eukaryote foaf:Person)" 235699 20 146150 0.0749845485549069 0 17684437 -0.925015451445093 0.00951415316640127 51 12020649
"SubClassOf(schema:Book dbo:Book)" 28128 28128 0 1 1 9696 1 0.991701689630376 9 253152
"SubClassOf(schema:Book dbo:Work)" 28128 28128 0 1 1 11243 1 0.991701689630376 9 253152
"SubClassOf(schema:Book dbo:WrittenWork)" 28128 28128 0 1 1 10270 1 0.991701689630376 9 253152
"SubClassOf(schema:Book <http://purl.org/ontology/bibo/Book)" 28128 28128 0 1 1 14008 1 0.991701689630376 9 253152
"SubClassOf(schema:Book schema:CreativeWork)" 28128 28128 0 1 1 12574 1 0.991701689630376 9 253152
"SubClassOf(schema:Book gml:_Feature)" 28128 11 0 1 0.0279640100631321 57970 0.027964010063132 0.0212929309337316 9 253152
"SubClassOf(schema:Book owl:Thing)" 28128 28128 0 1 1 14026 1 0.991701689630376 9 253152
